ticket_number,date_time,affected_component,assigned_to_user,change_criticality
CHG001,2024-01-15 09:30:00,UserAccessModule,USER001,Emergency
CHG002,2024-01-15 14:20:00,SecuritySettings,USER004,High
CHG003,2024-01-16 11:45:00,DatabaseConfig,USER002,Low
CHG004,2024-01-16 16:30:00,NetworkSettings,USER007,Emergency
CHG005,2024-01-17 10:15:00,APIEndpoints,USER003,High
CHG006,2024-01-17 15:40:00,LoggingSystem,USER005,Medium
CHG007,2024-01-18 09:00:00,UserInterface,USER008,Emergency
CHG008,2024-01-18 13:25:00,BackupSystem,USER006,Medium
CHG009,2024-01-19 11:30:00,AuthModule,USER001,Medium
CHG010,2024-01-19 16:15:00,ReportingEngine,USER004,Emergency
CHG011,2024-01-20 10:45:00,DataProcessor,USER002,Medium
CHG012,2024-01-20 15:20:00,SecurityModule,USER005,High
CHG013,2024-01-21 09:15:00,ConfigSettings,USER007,Emergency
CHG014,2024-01-21 14:50:00,UserManagement,USER003,Low
CHG015,2024-01-22 10:30:00,APIGateway,USER008,Low
